familia,corrida,segundos,C,class_weight,max_iter,solver,penalty,roc_auc,pr_auc,brier,log_loss,accuracy,precision,recall,f1,umbral,tasa_predicha,prob_media,n_estimators,min_samples_leaf,max_features,max_depth,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample
random_forest,20,127.1683783531189,,,,,,0.7072236971220969,0.6980572026825657,0.2231787396016103,0.6371007700750679,0.5850702631330755,0.5415904396577161,0.8989812411225939,0.6759533761761836,0.24000000000000002,0.7990663019900028,0.3966294927549128,300.0,20.0,sqrt,24.0,,,,,
random_forest,21,79.76178789138794,,,,,,0.6945090556932291,0.6841514925710177,0.22783296172849854,0.6532663954610173,0.5751438272187117,0.5352533004028108,0.8916344222951462,0.6689387815095171,0.21000000000000002,0.8019192681316608,0.3991507138673504,100.0,5.0,0.5,20.0,,,,,
random_forest,22,148.58061170578003,,balanced,,,,0.6632807222535839,0.6439398033251297,0.24704275876720136,0.7281905245339879,0.5642624728850325,0.5293076049943246,0.8564921389038547,0.6542760665612811,0.2,0.7789658587192304,0.46574780020783824,150.0,1.0,0.5,24.0,,,,,
random_forest,23,65.79081916809082,,,,,,0.6997029003138617,0.6932255495097079,0.22507373187369634,0.6404946710278338,0.5795411675940771,0.5374951036573866,0.9073076357937013,0.6750726565418219,0.27,0.8126119966047345,0.39749067504298446,200.0,5.0,log2,12.0,,,,,
random_forest,24,47.78315567970276,,balanced,,,,0.6839698439502724,0.6804786681590378,0.2223669275322867,0.6348082661964317,0.5557035744600585,0.5215716381284017,0.9316990743008278,0.6687643372562118,0.34,0.8599335093841366,0.48259777857718367,150.0,5.0,log2,8.0,,,,,
random_forest,25,39.0070424079895,,,,,,0.7063785897187536,0.6982461256479229,0.22347148134972683,0.6372069964111523,0.580979439781194,0.538365600754115,0.9091198511044718,0.6762608275874632,0.25,0.8129185136282184,0.39613476329547914,100.0,20.0,sqrt,16.0,,,,,
random_forest,26,168.47848463058472,,balanced,,,,0.7036398245924598,0.6936981171648731,0.2176261914246585,0.6242830471463979,0.5875106102046591,0.5439890422505531,0.8850712641426263,0.6738261039796404,0.30000000000000004,0.7832335188154296,0.4658859287081879,200.0,20.0,0.5,24.0,,,,,
random_forest,27,94.08685231208801,,balanced,,,,0.7052209705654828,0.6968545848675801,0.2164363884889952,0.621412951653099,0.5836202018296709,0.5405091742445388,0.9010383503942793,0.6756898214039759,0.32000000000000006,0.8024969348297651,0.4706111901921711,200.0,5.0,log2,16.0,,,,,
random_forest,28,98.17451405525208,,balanced,,,,0.7006599215851652,0.6933244391651249,0.21751564424873515,0.623681091447891,0.5826417051777799,0.5400106066409357,0.8977077925258363,0.6743625593288937,0.33000000000000007,0.8002687918513628,0.4717316591333985,150.0,1.0,0.5,12.0,,,,,
random_forest,29,57.96106767654419,,balanced,,,,0.6970033660978331,0.6910945639502919,0.21854602562673228,0.6261202127644777,0.5800952560596058,0.5380430025964933,0.9032913748346966,0.6743884155483234,0.35000000000000003,0.8081910779967934,0.47591325339072377,150.0,50.0,sqrt,12.0,,,,,
random_forest,30,25.034425973892212,,,,,,0.6836798661746639,0.6805992903631332,0.22907064460819776,0.6494439180874075,0.5587333773460341,0.5235694898354845,0.925895087427144,0.6688958477080127,0.27,0.8513156653777233,0.400454996504062,100.0,1.0,sqrt,8.0,,,,,
xgboost,1,12.544875621795654,,,,,,0.6862043488068053,0.670631699419737,0.23608773946762085,0.6780288815498352,0.5892082429501084,0.5471686225092541,0.8506881520301709,0.6659764760014955,0.2,0.7484320475337168,0.3915073275566101,800.0,,,8.0,1.0,0.1501725572054684,20.0,0.1,0.6
xgboost,2,9.328514575958252,,,,,,0.6995808446961107,0.6876436954463897,0.22815024852752686,0.6518298387527466,0.5919433179288881,0.548014139511909,0.8694225400401626,0.6722781370423322,0.22000000000000003,0.7637343204753372,0.3890995979309082,600.0,,,8.0,1.0,0.045556362000657775,20.0,0.1,1.0
xgboost,3,10.694422721862793,,,,,,0.7035545055740127,0.6927562764019585,0.22581656277179718,0.6432340741157532,0.5843864943883806,0.541188107118604,0.8977567713180193,0.6752938142430829,0.23,0.7985711591059135,0.3880414664745331,400.0,,,10.0,0.8,0.012115092723815248,50.0,1.0,0.8
xgboost,4,2.40777325630188,,,,,,0.700306419462905,0.6883324457225952,0.22711484134197235,0.6473055481910706,0.596152032443648,0.5512528828772674,0.8663123867365431,0.673771022608232,0.24000000000000002,0.7565311704234651,0.38796958327293396,200.0,,,6.0,0.6,0.08167611317882542,5.0,0.1,0.6
xgboost,5,8.1303391456604,,,,,,0.6979577082325443,0.6861926734655199,0.22877082228660583,0.6530794501304626,0.5848698481561823,0.5424015207519274,0.8804427682813342,0.6712659988610584,0.21000000000000002,0.7814179949071017,0.3879461884498596,800.0,,,6.0,1.0,0.08012737503998542,50.0,10.0,0.8
